id,name
1,George Lucas
3,Harrison Ford
4,Carrie Fisher
6,Anthony Daniels
13,Albert Brooks
24,Robert Zemeckis
38,Arthur Schmidt
40,Orson Welles
50,Catherine Deneuve
65,Ian Holm
113,Christopher Lee
123,Barrie M. Osborne
130,Kenny Baker
141,David Carradine
154,Walter Murch
190,Clint Eastwood
193,Gene Hackman
194,Richard Harris
240,Stanley Kubrick
243,Geoffrey Unsworth
244,Ray Lovejoy
280,Terry Gilliam
290,Christopher Plummer
348,William Goldman
349,Scott Glenn
369,Henry Bumstead
375,Bub Asman
379,Donald Harris
380,Robert De Niro
381,Katherine Helmond
384,Joel Cox
390,Irene Lamb
400,Geraldine Chaplin
488,Steven Spielberg
491,John Williams
493,Michael Kahn
510,Tim Burton
511,Larry J. Franco
514,Jack Nicholson
518,Danny DeVito
522,Rod Steiger
578,Ridley Scott
588,M. Emmet Walsh
597,Jane Feinberg
598,Mike Fenton
602,Linda DeScenna
649,Vernon Dobtcheff
650,Karen Allen
656,Denholm Elliott
659,Wolf Kahler
663,William Hootkins
664,Frank Marshall
666,Douglas Slocombe
668,Mary Selway
669,Norman Reynolds
707,Dan Aykroyd
719,John Morris
738,Sean Connery
742,Michael Byrne
770,Jerry Bruckheimer
782,Steven Berkoff
783,Jonathan Banks
792,Bruce Surtees
794,Angelo P. Graham
795,James J. Murakami
796,John M. Dwyer
800,Arthur Coburn
821,Beverly D'Angelo
827,Elliott Gould
852,Gerald B. Greenberg
853,Alan Heim
854,James Stewart
874,Boris Leven
906,Rick Simpson
909,Billy Weber
915,David Giler
922,Allen Garfield
930,Branko Lustig
949,Louis DiGiaimo
1004,Danny Aiello
1032,Martin Scorsese
1035,Paul Schrader
1037,Harvey Keitel
1038,Jodie Foster
1039,Peter Boyle
1044,Michael Chapman
1045,Bernard Herrmann
1046,Juliet Taylor
1047,Tom Rolf
1051,Ruth Morley
1052,Rick Alexander
1060,Dean Cundey
1062,Christopher Lloyd
1067,Marc McClure
1096,John Vallone
1101,Carl Weathers
1107,R. G. Armstrong
1158,Al Pacino
1162,Robert Loggia
1205,Richard Gere
1221,Dianne Crittenden
1222,Albert Brenner
1232,David Huddleston
1243,Woody Allen
1259,Ennio Morricone
1261,Hal Gausman
1263,Lynn Stalmaster
1270,Charles Martin Smith
1297,Richard D. Zanuck
1299,Roald Dahl
1310,Saul Zaentz
1370,Brad Dourif
1466,Charles Durning
1524,Harold Ramis
1530,Howard Feuer
1531,Pembroke J. Herring
1666,Julie Christie
1723,Walter Hill
1724,Roger Spottiswoode
1735,Frank McRae
1744,Robert Wise
1748,William Shatner
1749,Leonard Nimoy
1750,DeForest Kelley
1751,James Doohan
1752,George Takei
1753,Nichelle Nichols
1754,Walter Koenig
1756,Stephen Collins
1760,Jerry Goldsmith
1761,Alexander Courage
1762,Richard H. Kline
1767,Todd C. Ramsay
1769,Sofia Coppola
1776,Francis Ford Coppola
1793,Ricardo Montalban
1820,Mark Lenard
1885,George Clayton Johnson
1895,Carl Reiner
1903,Alan Arkin
1909,Conchata Ferrell
1918,Richard Halsey
1936,Martin Balsam
1937,Mickey Rooney
2027,Leonard Rosenman
2047,Danny Glover
2076,David Warner
2091,James Mason
2106,Walt Disney
2108,Elmo Williams
2112,Brock Peters
2161,Debra Hill
2201,Max von Sydow
2230,Pam Grier
2249,Clyde Kusatsu
2260,Steven Zaillian
2287,Bill Butler
2289,John Barry
2295,Mickey Rourke
2310,Bruno Ganz
2314,Peter Falk
2369,Michael Lonsdale
2384,Bernard Williams
2391,Michael Dorn
2449,Kevin McNally
2454,Matt Clark
2461,Mel Gibson
