id,name,Average Rating,Movie 0,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10,Movie 11,Movie 12,Movie 13,Movie 14,Movie 15,Movie 16,Movie 17,Movie 18,Movie 19,Movie 20,Movie 21,Movie 22,Movie 23,Movie 24,Movie 25,Movie 26,Movie 27,Movie 28,Movie 29,Movie 30,Movie 31,Movie 32,Movie 33,Movie 34,Movie 35,Movie 36,Movie 37,Movie 38,Movie 39,Movie 40,Movie 41,Movie 42,Movie 43,Movie 44,Movie 45,Movie 46,Movie 47,Movie 48,Movie 49,Movie 50,Movie 51,Movie 52,Movie 53,Movie 54,Movie 55,Movie 56,Movie 57,Movie 58,Movie 59,Movie 60,Movie 61,Movie 62,Movie 63,Movie 64,Movie 65,Movie 66,Movie 67,Movie 68,Movie 69,Movie 70,Movie 71,Movie 72,Movie 73,Movie 74,Movie 75,Movie 76,Movie 77,Movie 78,Movie 79,Movie 80,Movie 81,Movie 82
1,George Lucas,6.955555555555555,13155.0,217.0,85.0,87.0,306.0,1893.0,838.0,10658.0,1894.0,1895.0,89.0,12144.0,1892.0,2359.0,333355.0,879.0,1891.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Harrison Ford,6.634375,217.0,85.0,87.0,838.0,89.0,1892.0,1891.0,11.0,11375.0,9754.0,80274.0,293863.0,5503.0,27569.0,8665.0,109410.0,18480.0,9331.0,17339.0,109443.0,6068.0,138103.0,38357.0,28.0,9772.0,78.0,4477.0,2655.0,12618.0,9869.0,9281.0,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Carrie Fisher,6.21875,1892.0,879.0,1891.0,11.0,2294.0,639.0,525.0,17926.0,47941.0,816.0,13972.0,10833.0,26688.0,206412.0,4234.0,4997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Anthony Daniels,7.437499999999999,1893.0,1894.0,1895.0,1892.0,333355.0,1891.0,11.0,137106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Andrew Stanton,7.328571428571428,10681.0,10193.0,9806.0,12.0,585.0,150540.0,862.0,62211.0,863.0,920.0,49529.0,2062.0,14160.0,9487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Lee Unkrich,7.357142857142856,10193.0,12.0,585.0,862.0,62211.0,863.0,9487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bob Peterson,7.425000000000001,10193.0,9806.0,12.0,585.0,150540.0,62211.0,14160.0,105864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Albert Brooks,6.614285714285714,12.0,328111.0,1389.0,61337.0,241239.0,35.0,15301.0,37718.0,103.0,321741.0,309809.0,10765.0,89492.0,64690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Brad Garrett,6.146153846153846,12.0,2062.0,9487.0,38757.0,10022.0,124459.0,181533.0,308531.0,11172.0,1593.0,57089.0,18357.0,8839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Allison Janney,6.417241379310345,6068.0,12.0,590.0,47502.0,209403.0,7326.0,10480.0,7518.0,226486.0,14.0,147773.0,17127.0,39800.0,13919.0,9440.0,211672.0,272693.0,239566.0,10490.0,2976.0,82703.0,4951.0,10395.0,72358.0,50014.0,19255.0,44754.0,17403.0,9466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Elizabeth Perkins,5.833333333333332,12.0,10320.0,10992.0,43074.0,10468.0,50359.0,2280.0,888.0,11648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
